ID,カテゴリー,サブカテゴリー,カテゴリID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,時計,42,腕時計(アナログ),腕時計(デジタル),ラバーベルト,レザーベルト,金属ベルト,その他,,,,,,,,,,,,,,,,,,,,,,,
,,水着,43,一般水着,スポーツ用,アクセサリー,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,レッグウェア,44,ソックス,レギンス/スパッツ,レッグウォーマー,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,アンダーウェア,45,トランクス,ボクサーパンツ,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,その他,46,トップス,アウター,パンツ,スカート,ワンピース,ベビードレス,おくるみ,下着/肌着,パジャマ,ロンパース,その他,,,,,,,,,,,,,,,,,,
3,ベビー・キッズ,"ベビー服(女の子用),~95cm",47,トップス,アウター,パンツ,おくるみ,下着/肌着,パジャマ,ロンパース,その他,,,,,,,,,,,,,,,,,,,,,
,,"ベビー服(男の子用),~95cm",48,トップス,アウター,パンツ,おくるみ,下着/肌着,パジャマ,ロンパース,その他,,,,,,,,,,,,,,,,,,,,,
,,"ベビー服(男女兼用),~95cm",49,コート,ジャケット/上着,トップス(Tシャツ/カットソー),トップス(トレーナー),トップス(チュニック),トップス(タンクトップ),トップス(その他),スカート,パンツ,ワンピース,セットアップ,パジャマ,フォーマル/ドレス,和服,浴衣,甚平,水着,その他,,,,,,,,,,,
,,"キッズ服(女の子用),100cm~",50,コート,ジャケット/上着,トップス(Tシャツ/カットソー),トップス(トレーナー),トップス(その他),パンツ,セットアップ,パジャマ,フォーマル/ドレス,和服,浴衣,甚平,水着,その他,,,,,,,,,,,,,,,
,,"キッズ服(男の子用),100cm~",51,コート,ジャケット/上着,トップス(Tシャツ/カットソー),トップス(トレーナー),トップス(その他),ボトムス,パジャマ,その他,,,,,,,,,,,,,,,,,,,,,
,,"キッズ服(男女兼用),100cm~",52,スニーカー,サンダル,ブーツ,長靴,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,キッズ靴,53,靴下/スパッツ,帽子,エプロン,サスペンダー,タイツ,ハンカチ,バンダナ,ベルト,マフラー,傘,手袋,スタイ,バッグ,その他,,,,,,,,,,,,,,,
,,子ども用ファッション小物,54,おむつ用品,おまる/補助便座,トレーニングパンツ,ベビーバス,お風呂用品,その他,,,,,,,,,,,,,,,,,,,,,,,
,,おむつ/トイレ/バス,55,ベビーカー,抱っこひも/スリング,チャイルドシート,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,外出/移動用品,56,ミルク,ベビーフード,ベビー用食器,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,授乳/食事,57,ベッド,布団/毛布,イス,たんす,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,ベビー家具/寝具/室内用品,58,おふろのおもちゃ,がらがら,オルゴール,ベビージム,手押し車/カタカタ,知育玩具,その他,,,,,,,,,,,,,,,,,,,,,,
,,おもちゃ,59,お宮参り用品,お食い初め用品,アルバム,手形/足形,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,行事/記念品,60,母子手帳用品,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,その他,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,インテリア・住まい・小物,キッチン/食器,62,食器,調理器具,収納/キッチン雑貨,弁当用品,カトラリー(スプーン等),テーブル用品,容器,エプロン,アルコールグッズ,浄水機,その他,,,,,,,,,,,,,,,,,,
,,ベッド/マットレス,63,セミシングルベッド,シングルベッド,セミダブルベッド,ダブルベッド,ワイドダブルベッド,クイーンベッド,キングベッド,脚付きマットレスベッド,マットレス,すのこベッド,ロフトベッド/システムベッド,簡易ベッド/折りたたみベッド,収納付き,その他,,,,,,,,,,,,,,,
,,ソファ/ソファベッド,64,ソファセット,シングルソファ,ラブソファ,トリプルソファ,オットマン,コーナーソファ,ビーズソファ/クッションソファ,ローソファ/フロアソファ,ソファベッド,応接セット,ソファカバー,リクライニングソファ,その他,,,,,,,,,,,,,,,,
,,椅子/チェア,65,一般,スツール,ダイニングチェア,ハイバックチェア,ロッキングチェア,座椅子,折り畳みイス,デスクチェア,その他,,,,,,,,,,,,,,,,,,,,
,,机/テーブル,66,こたつ,カウンターテーブル,サイドテーブル,センターテーブル,ダイニングテーブル,座卓/ちゃぶ台,アウトドア用,パソコン用,事務机/学習机,その他,,,,,,,,,,,,,,,,,,,
,,収納家具,67,リビング収納,キッチン収納,玄関/屋外収納,バス/トイレ収納,本収納,本/CD/DVD収納,洋服タンス/押入れ収納,電話台/ファックス台,ドレッサー/鏡台,棚/ラック,ケース/ボックス,その他,,,,,,,,,,,,,,,,,
,,ラグ/カーペット/マット,68,ラグ,カーペット,ホットカーペット,玄関/キッチンマット,トイレ/バスマット,その他,,,,,,,,,,,,,,,,,,,,,,,
,,カーテン/ブラインド,69,カーテン,ブラインド,ロールスクリーン,のれん,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,ライト/照明,70,蛍光灯/電球,天井照明,フロアスタンド,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,寝具,71,布団/毛布,枕,シーツ/カバー,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,インテリア小物,72,ごみ箱,ウェルカムボード,オルゴール,クッション,クッションカバー,スリッパラック,ティッシュボックス,バスケット/かご,フォトフレーム,マガジンラック,モビール,花瓶,灰皿,傘立て,小物入れ,置時計,掛時計/柱時計,鏡(立て掛け式),鏡(壁掛け式),置物,風鈴,植物/観葉植物,その他,,,,,,
,,季節/年中行事,73,正月,成人式,バレンタインデー,ひな祭り,子どもの日,母の日,父の日,サマーギフト/お中元,夏/夏休み,ハロウィン,敬老の日,七五三,お歳暮,クリスマス,冬一般,その他,,,,,,,,,,,,,
,,その他,74,文学/小説,人文/社会,ノンフィクション/教養,地図/旅行ガイド,ビジネス/経済,健康/医学,コンピュータ/IT,趣味/スポーツ/実用,住まい/暮らし/子育て,アート/エンタメ,洋書,絵本,参考書,その他,,,,,,,,,,,,,,,
5,本・音楽・ゲーム,本,75,全巻セット,少年漫画,少女漫画,青年漫画,女性漫画,同人誌,その他,,,,,,,,,,,,,,,,,,,,,,
,,漫画,76,アート/エンタメ/ホビー,ファッション,ニュース/総合,趣味/スポーツ,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,雑誌,77,邦楽,洋楽,アニメ,クラシック,K-POP/アジア,キッズ/ファミリー,その他,,,,,,,,,,,,,,,,,,,,,,
,,CD,78,外国映画,日本映画,アニメ,TVドラマ,ミュージック,お笑い/バラエティ,スポーツ/フィットネス,キッズ/ファミリー,その他,,,,,,,,,,,,,,,,,,,,
,,DVD/ブルーレイ,79,邦楽,洋楽,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,レコード,80,家庭用ゲーム本体,家庭用ゲームソフト,携帯用ゲーム本体,携帯用ゲームソフト,PCゲーム,その他,,,,,,,,,,,,,,,,,,,,,,,
